first_name,last_name,gender,past_3_years_bike_related_purchases,cluster,DOB,age,age_categories,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,Rank,Value
Regine,Bownes,F,99,2,1952-07-01,68,60 to 70,Senior Developer,Retail,Affluent Customer,No,15,255 Loeprich Lane,3752,VIC,9,166,1.175
Abner,Fraschetti,M,33,3,1986-01-23,34,30 to 40,Staff Scientist,Argiculture,Affluent Customer,No,13,67 Northport Avenue,3805,VIC,7,166,1.175
Alvira,Coulman,F,42,3,1955-06-05,65,60 to 70,Account Representative II,Untitled,Affluent Customer,No,14,823 Wayridge Trail,2205,NSW,9,166,1.175
Sawyer,Sponton,M,36,3,1956-02-22,64,60 to 70,Help Desk Technician,Property,Mass Customer,Yes,10,5 Golf Terrace,2126,NSW,11,166,1.175
Feodor,Vickers,M,60,1,1989-11-18,31,30 to 40,VP Quality Control,Financial Services,Mass Customer,Yes,4,40809 Truax Way,2209,NSW,6,173,1.171875
Paten,Cayet,M,56,0,1995-02-19,25,20 to 30,Assistant Manager,Manufacturing,Affluent Customer,Yes,16,1398 Burning Wood Way,3850,VIC,1,174,1.16875
Loria,Tappington,F,72,2,1955-09-06,65,60 to 70,Research Assistant IV,Property,Mass Customer,No,5,3920 Swallow Junction,3038,VIC,8,174,1.16875
Tanya,Kiefer,F,54,1,1992-07-05,28,20 to 30,Speech Pathologist,Telecommunications,High Net Worth,No,7,4 Warner Park,2146,NSW,9,174,1.16875
Devonne,Alderwick,F,79,2,1939-01-29,81,Above 80,Research Associate,Untitled,High Net Worth,Yes,9,534 Lien Lane,3122,VIC,7,177,1.1625
Omero,McDonand,M,51,2,1952-04-01,68,60 to 70,Software Consultant,Manufacturing,Mass Customer,No,16,48 Shoshone Park,2066,NSW,9,177,1.1625
Iain,Haversham,M,92,2,1950-12-26,70,70 to 80,Sales Representative,Retail,Mass Customer,Yes,13,170 Briar Crest Place,2120,NSW,10,177,1.1625
Keriann,Newham,F,71,1,1975-03-26,45,40 to 50,Assistant Manager,Financial Services,Mass Customer,No,5,0193 Northland Street,4179,QLD,9,177,1.1625
Conroy,Rappaport,M,39,3,1965-01-08,55,50 to 60,Assistant Manager,Health,High Net Worth,No,9,5219 Pearson Drive,2148,NSW,9,181,1.158125
Dorian,Rustman,M,78,2,1974-12-09,46,40 to 50,Junior Executive,Manufacturing,Mass Customer,No,18,6156 Summit Center,4352,QLD,7,181,1.158125
Quillan,Guinane,M,36,3,1946-03-24,74,70 to 80,Community Outreach Specialist,Untitled,High Net Worth,Yes,21,803 Badeau Point,2177,NSW,8,181,1.158125
Harlin,Mazin,M,34,3,1974-03-25,46,40 to 50,Computer Systems Analyst I,Manufacturing,Mass Customer,Yes,13,735 Westridge Road,2454,NSW,7,181,1.158125
Eustacia,Dornan,F,68,1,1985-09-02,35,30 to 40,Account Representative IV,Property,Mass Customer,No,5,1190 Hanson Street,3806,VIC,9,181,1.158125
Maury,Galego,M,65,1,1992-07-27,28,20 to 30,Social Worker,Health,High Net Worth,Yes,3,370 Division Junction,3032,VIC,10,181,1.158125
Reggie,Kernar,F,26,3,1971-11-28,49,40 to 50,Senior Editor,Financial Services,High Net Worth,No,17,90 Northport Hill,2228,NSW,10,181,1.158125
Brigitte,Whellams,F,67,2,1973-05-09,47,40 to 50,Payment Adjustment Coordinator,Untitled,Mass Customer,Yes,17,77785 Veith Lane,2766,NSW,8,188,1.15625
Kinna,Kollasch,F,7,3,1986-11-09,34,30 to 40,Safety Technician I,Property,High Net Worth,No,9,232 Knutson Park,4060,QLD,10,188,1.15625
Maurizio,Comi,M,74,1,1996-05-30,24,20 to 30,VP Product Management,IT,Affluent Customer,No,10,25805 Eagan Place,2766,NSW,9,190,1.15546875
Elbertina,Fendley,F,32,1,1992-03-27,28,20 to 30,Physical Therapy Assistant,Property,Affluent Customer,No,8,743 Debra Court,2117,NSW,11,191,1.15
Franklin,Wohler,M,55,2,1938-10-16,82,Above 80,Clinical Specialist,Health,Mass Customer,Yes,7,6966 Delladonna Street,2250,NSW,8,191,1.15
Allyson,Petchell,F,16,3,1970-03-19,50,50 to 60,Human Resources Manager,Telecommunications,High Net Worth,No,10,98221 Pennsylvania Place,2170,NSW,8,191,1.15
Ermentrude,Heindle,F,47,3,1969-08-02,51,50 to 60,GIS Technical Architect,Argiculture,Mass Customer,No,7,307 Knutson Center,2226,NSW,10,191,1.15
Alanna,Lerway,F,26,3,1944-01-05,76,70 to 80,Dental Hygienist,Health,Mass Customer,Yes,11,593 Alpine Drive,3195,VIC,12,195,1.1475
Vincent,Jopke,M,6,0,1972-03-10,48,40 to 50,Analog Circuit Design manager,Property,Affluent Customer,No,16,45788 Stang Plaza,3687,VIC,3,195,1.1475
Mandie,Jeffryes,F,60,1,1981-02-16,39,30 to 40,Business Systems Development Analyst,Untitled,High Net Worth,No,7,96515 Di Loreto Pass,4109,QLD,9,195,1.1475
Collete,Dory,F,66,1,1990-01-09,30,30 to 40,Information Systems Manager,Untitled,High Net Worth,No,2,8625 Dakota Plaza,2210,NSW,9,195,1.1475
Leonid,Dorricott,M,44,1,1993-11-18,27,20 to 30,Environmental Tech,Untitled,Affluent Customer,No,3,02 Hoffman Road,2448,NSW,3,195,1.1475
Charlena,Berney,F,55,0,1966-01-02,54,50 to 60,Geological Engineer,Manufacturing,High Net Worth,Yes,12,496 Logan Center,4207,QLD,4,195,1.1475
Alfonso,Massel,M,70,2,1940-12-05,80,Above 80,Untitled,Untitled,Mass Customer,Yes,13,6065 Talisman Crossing,3977,VIC,7,201,1.1421875
Engracia,Dobbs,F,84,2,1959-04-19,61,60 to 70,Untitled,Health,Mass Customer,No,15,72 Eliot Place,2250,NSW,8,202,1.140625
Glyn,,M,47,3,1945-02-13,75,70 to 80,General Manager,Manufacturing,Affluent Customer,Yes,21,67 Bluejay Plaza,2300,NSW,9,202,1.140625
Rosemonde,Cartwight,F,44,0,1952-10-20,68,60 to 70,Analyst Programmer,Retail,Mass Customer,Yes,7,518 Paget Hill,4605,QLD,1,202,1.140625
Alano,Satchel,M,2,1,1998-11-26,22,20 to 30,Recruiting Manager,Untitled,Mass Customer,No,2,87107 Shelley Crossing,2429,NSW,7,202,1.140625
Corrine,Baribal,F,19,3,1948-10-12,72,70 to 80,Senior Sales Associate,Untitled,Affluent Customer,Yes,12,3 Mallory Circle,2170,NSW,8,206,1.1375
Benoit,Harniman,M,31,3,1976-08-27,44,40 to 50,Research Assistant II,Telecommunications,Affluent Customer,No,9,1582 Bashford Drive,4018,QLD,7,206,1.1375
Jeanne,Darte,F,70,2,1955-08-18,65,60 to 70,Untitled,Untitled,Mass Customer,Yes,11,3 Homewood Park,2756,NSW,7,206,1.1375
Jenelle,Fearnill,F,12,3,1958-01-03,62,60 to 70,Social Worker,Health,High Net Worth,No,19,06 Old Gate Park,2144,NSW,9,206,1.1375
Tannie,Gambrell,M,92,0,1967-05-25,53,50 to 60,Financial Analyst,Financial Services,Affluent Customer,No,4,49 Surrey Point,4710,QLD,4,206,1.1375
Mick,Macewan,M,32,3,1967-12-12,53,50 to 60,Senior Cost Accountant,Financial Services,Mass Customer,No,16,59254 Northland Alley,2032,NSW,10,206,1.1375
Abbie,Oldman,M,82,1,1983-11-26,37,30 to 40,Untitled,Health,High Net Worth,Yes,5,4 North Drive,2168,NSW,8,212,1.136875
Tabbie,Curner,M,12,1,1997-03-13,23,20 to 30,Chief Design Engineer,Retail,Mass Customer,No,6,89 Parkside Street,3021,VIC,6,212,1.136875
Shane,Killen,M,28,3,1956-10-16,64,60 to 70,Account Executive,Entertainment,High Net Worth,No,10,7 Hazelcrest Place,2165,NSW,8,212,1.136875
Roberta,Goodale,F,9,3,1947-02-28,73,70 to 80,Information Systems Manager,Property,Mass Customer,Yes,22,013 David Junction,4211,QLD,7,215,1.12890625
Kippy,Barabisch,M,11,1,2000-04-07,20,20 to 30,Legal Assistant,Manufacturing,Mass Customer,No,4,840 Graceland Street,2125,NSW,11,215,1.12890625
Rosalinde,Cubuzzi,F,50,1,1997-09-04,23,20 to 30,Business Systems Development Analyst,Untitled,Mass Customer,No,5,6 Lotheville Trail,2444,NSW,7,215,1.12890625
Cami,Barnbrook,F,8,0,1963-01-01,57,50 to 60,Occupational Therapist,Health,Affluent Customer,Yes,18,890 Truax Lane,4285,QLD,2,218,1.12625
Dorian,Stollen,M,78,2,1980-02-16,40,40 to 50,Statistician I,Financial Services,Mass Customer,Yes,18,72922 Cambridge Terrace,2026,NSW,11,219,1.125
Hunfredo,Hayball,M,7,1,1994-04-15,26,20 to 30,Untitled,IT,Affluent Customer,No,3,60461 Esch Avenue,2227,NSW,8,219,1.125
Giorgi,O'Shirine,M,68,2,1981-06-20,39,30 to 40,Payment Adjustment Coordinator,Retail,Mass Customer,Yes,15,6 Novick Alley,3934,VIC,8,219,1.125
Kort,Disley,M,66,2,1979-02-05,41,40 to 50,Technical Writer,Health,Mass Customer,Yes,7,76 Donald Trail,2160,NSW,9,219,1.125
Gretna,Thredder,F,62,2,1966-01-08,54,50 to 60,Untitled,Untitled,Mass Customer,No,18,1607 Westridge Drive,2203,NSW,11,223,1.115625
Tobiah,Heinsius,M,66,1,2000-01-25,20,20 to 30,Chief Design Engineer,Health,High Net Worth,No,9,3630 Dawn Crossing,2446,NSW,8,223,1.115625
Wallace,Newart,M,91,0,1977-12-06,43,40 to 50,Untitled,IT,Mass Customer,No,17,29007 Dapin Street,4650,QLD,1,223,1.115625
Hersh,Stubbert,M,0,3,2000-06-25,20,20 to 30,Technical Writer,Manufacturing,Mass Customer,Yes,15,68 Fairfield Street,4115,QLD,8,226,1.1125
Wyn,Saynor,M,54,2,1964-06-22,56,50 to 60,Cost Accountant,Financial Services,High Net Worth,No,8,5 Briar Crest Road,2099,NSW,9,226,1.1125
Maribeth,Stivani,F,46,3,1954-11-13,66,60 to 70,Associate Professor,Financial Services,Mass Customer,No,7,945 Bobwhite Court,2430,NSW,8,226,1.1125
Abigale,Sives,F,48,0,1963-12-13,57,50 to 60,VP Marketing,Health,Affluent Customer,Yes,14,2 Glendale Center,4207,QLD,4,230,1.109375
Gothart,Artus,M,52,2,1978-05-31,42,40 to 50,Health Coach IV,Health,Mass Customer,Yes,14,21824 Northridge Alley,2117,NSW,10,231,1.105
Danny,Bodle,M,50,3,1943-09-24,77,70 to 80,Statistician I,Manufacturing,Mass Customer,Yes,18,68 Anthes Park,2007,NSW,9,231,1.105
Vittorio,Boxen,M,94,2,1965-08-15,55,50 to 60,Mechanical Systems Engineer,Untitled,Mass Customer,No,14,3 Anthes Court,2148,NSW,9,233,1.1
Deborah,Petrovsky,F,53,2,1943-07-14,77,70 to 80,Teacher,Property,Mass Customer,No,16,036 Redwing Street,2011,NSW,7,233,1.1
Agace,Hedge,F,25,1,1997-07-23,23,20 to 30,Media Manager II,Untitled,Mass Customer,Yes,13,92 Petterle Place,3429,VIC,8,233,1.1
Rolland,Esmead,M,41,3,1940-07-13,80,Above 80,Untitled,Health,Affluent Customer,No,8,72008 7th Avenue,2200,NSW,8,233,1.1
Latrena,Walklate,F,97,2,1943-10-05,77,70 to 80,Mechanical Systems Engineer,Telecommunications,High Net Worth,Yes,13,87 Sheridan Junction,2281,NSW,8,237,1.094375
Mariquilla,Springthorpe,F,30,3,1939-04-04,81,Above 80,Director of Sales,Untitled,Mass Customer,Yes,8,811 Melrose Park,2224,NSW,10,237,1.094375
Leticia,Danovich,F,84,0,1941-10-02,79,70 to 80,Design Engineer,Entertainment,Mass Customer,Yes,15,2 Logan Avenue,4307,QLD,1,237,1.094375
Harman,Lynds,M,4,3,1961-05-27,59,50 to 60,Professor,Untitled,Mass Customer,Yes,5,538 Gina Way,4105,QLD,8,240,1.09
Farra,Matyushkin,F,18,3,1974-01-24,46,40 to 50,VP Quality Control,Manufacturing,High Net Worth,Yes,9,52761 Portage Crossing,3170,VIC,9,241,1.0875
Robenia,Monks,F,94,2,1959-05-08,61,60 to 70,Nurse Practicioner,Manufacturing,Mass Customer,No,5,8 Fieldstone Street,4065,QLD,9,241,1.0875
Roman,Eastwood,M,57,0,1969-09-21,51,50 to 60,Associate Professor,Manufacturing,Affluent Customer,Yes,16,8957 Anhalt Alley,3004,VIC,4,241,1.0875
Solomon,Bruck,M,29,3,1957-11-15,63,60 to 70,Junior Executive,Health,Mass Customer,No,12,5 High Crossing Junction,4556,QLD,8,244,1.08375
Krystyna,Airey,F,2,3,1950-09-05,70,70 to 80,Safety Technician II,Untitled,Mass Customer,Yes,19,75760 Toban Junction,4006,QLD,5,244,1.08375
Katharine,Redbourn,F,8,3,1967-09-11,53,50 to 60,Recruiter,Manufacturing,Affluent Customer,Yes,4,178 Waxwing Trail,3134,VIC,10,244,1.08375
Cammy,Stoneham,F,74,0,1963-05-02,57,50 to 60,Business Systems Development Analyst,Financial Services,High Net Worth,No,14,8648 Green Alley,4680,QLD,3,244,1.08375
Ellsworth,Andrieux,M,49,0,1971-04-26,49,40 to 50,Senior Cost Accountant,Financial Services,Affluent Customer,Yes,10,08912 Carberry Place,4036,QLD,7,248,1.078125
Federico,Leuty,M,59,0,1978-12-11,42,40 to 50,Product Engineer,Property,High Net Worth,Yes,11,720 Menomonie Crossing,2380,NSW,4,249,1.07578125
Ferdy,Hornung,M,57,0,1974-05-14,46,40 to 50,Analog Circuit Design manager,Entertainment,High Net Worth,No,18,0686 Hallows Trail,4506,QLD,3,250,1.075
Sunny,Christescu,F,90,2,1975-03-12,45,40 to 50,Cost Accountant,Financial Services,Mass Customer,No,11,6668 Blue Bill Park Plaza,2209,NSW,10,250,1.075
Shadow,Yakutin,M,85,0,1967-02-03,53,50 to 60,Software Test Engineer IV,Health,Affluent Customer,Yes,6,06 Dwight Park,4119,QLD,2,252,1.073125
Sharai,Priddie,F,13,3,1961-01-16,59,50 to 60,Sales Representative,Retail,Mass Customer,No,9,5202 Crowley Place,2145,NSW,9,252,1.073125
Celeste,Fretson,F,91,2,1980-09-16,40,40 to 50,Product Engineer,IT,Mass Customer,No,9,14709 Portage Avenue,2166,NSW,9,252,1.073125
Lea,Ilyinski,F,75,2,1997-09-25,23,20 to 30,Structural Analysis Engineer,Financial Services,High Net Worth,No,12,895 Glendale Park,2026,NSW,12,252,1.073125
Dyann,Olechnowicz,F,17,3,1939-07-17,81,Above 80,Nuclear Power Engineer,Manufacturing,Mass Customer,No,16,0474 Bowman Hill,3031,VIC,10,252,1.073125
Delly,Sunman,F,49,3,1959-04-11,61,60 to 70,Account Coordinator,Retail,Mass Customer,No,15,652 Fuller Terrace,3206,VIC,12,252,1.073125
Malvin,Ryhorovich,M,37,0,1962-03-03,58,50 to 60,Quality Control Specialist,Untitled,Mass Customer,No,5,5356 Sugar Plaza,4818,QLD,3,252,1.073125
Tanya,Hamberston,F,45,1,2000-09-25,20,20 to 30,Product Engineer,Untitled,Mass Customer,Yes,9,7 Schiller Point,4113,QLD,6,259,1.0625
Kaela,Romaines,F,41,3,1971-11-27,49,40 to 50,Geological Engineer,Manufacturing,High Net Worth,No,19,9193 Prairieview Drive,2155,NSW,10,259,1.0625
Evonne,Bembridge,F,9,3,1969-07-06,51,50 to 60,Recruiting Manager,Retail,Mass Customer,Yes,14,13272 Basil Avenue,3103,VIC,9,259,1.0625
Shannen,Lewin,F,21,1,1991-06-07,29,20 to 30,Analog Circuit Design manager,Argiculture,High Net Worth,No,6,29 Aberg Crossing,4210,QLD,6,259,1.0625
Bogey,Attew,M,88,1,1992-11-18,28,20 to 30,Software Engineer II,IT,Mass Customer,Yes,10,4 Monterey Road,4165,QLD,9,259,1.0625
Zondra,Ringham,F,36,0,1948-01-13,72,70 to 80,Cost Accountant,Financial Services,Mass Customer,Yes,7,416 Lighthouse Bay Lane,4510,QLD,5,259,1.0625
Barnebas,Apfel,M,57,1,1996-02-19,24,20 to 30,Account Executive,Manufacturing,Affluent Customer,Yes,2,05475 Elgar Place,4000,QLD,6,259,1.0625
Alleen,Eaken,F,56,2,1938-08-31,82,Above 80,Untitled,Untitled,Mass Customer,No,10,343 Lakewood Center,2089,NSW,12,259,1.0625
Gerri,Schimann,F,81,2,1969-11-17,51,50 to 60,Desktop Support Technician,Property,Mass Customer,Yes,18,47 Kim Terrace,2566,NSW,8,259,1.0625
Antonietta,Egle,F,82,2,1973-09-25,47,40 to 50,Actuary,Financial Services,Mass Customer,No,7,590 Hagan Parkway,3805,VIC,7,259,1.0625
Raff,Waycott,M,70,2,1951-12-16,69,60 to 70,Engineer IV,Manufacturing,Affluent Customer,Yes,14,94694 Eagle Crest Terrace,3977,VIC,7,259,1.0625
Lark,Gonet,F,89,2,1972-01-17,48,40 to 50,Database Administrator II,Health,High Net Worth,No,8,261 Orin Center,2763,NSW,8,259,1.0625
Cletis,Longley,M,84,1,1996-07-01,24,20 to 30,Chemical Engineer,Manufacturing,High Net Worth,Yes,1,667 Waxwing Plaza,3199,VIC,7,271,1.06
Bartram,Di Lucia,M,70,0,1961-01-03,59,50 to 60,Untitled,Argiculture,Mass Customer,Yes,5,83509 Delaware Street,2480,NSW,3,271,1.06
Theresa,Cowper,F,99,2,1976-08-24,44,40 to 50,Accountant III,Manufacturing,Mass Customer,No,3,88 Mifflin Pass,2529,NSW,10,271,1.06
Philbert,Raraty,M,48,2,1956-06-28,64,60 to 70,Executive Secretary,Manufacturing,Mass Customer,No,6,10 Dexter Park,2177,NSW,9,274,1.051875
Egon,Ortells,M,35,3,1976-06-11,44,40 to 50,Structural Engineer,Manufacturing,Affluent Customer,No,13,3 Sundown Hill,2168,NSW,9,274,1.051875
Dahlia,Shovlar,F,90,0,1966-03-07,54,50 to 60,Environmental Specialist,Untitled,Affluent Customer,Yes,7,655 Glendale Trail,3976,VIC,3,274,1.051875
Timi,Duny,F,70,2,1953-03-12,67,60 to 70,Office Assistant II,Telecommunications,High Net Worth,No,6,39192 Glendale Alley,2092,NSW,12,274,1.051875
Dominick,Asher,M,50,2,1962-10-06,58,50 to 60,Research Associate,Health,Affluent Customer,Yes,5,7307 Lake View Crossing,3804,VIC,9,278,1.05
Raye,Roo,F,64,2,1976-03-07,44,40 to 50,Database Administrator I,Financial Services,Mass Customer,Yes,16,1199 Express Plaza,3046,VIC,9,278,1.05
Becka,Hacon,F,81,2,1965-07-03,55,50 to 60,General Manager,Financial Services,Affluent Customer,No,17,1 Namekagon Point,3791,VIC,9,278,1.05
Cirillo,Frossell,M,7,3,1968-10-14,52,50 to 60,Graphic Designer,Untitled,Mass Customer,No,6,602 Meadow Vale Lane,2111,NSW,12,278,1.05
Verla,Dumingos,F,26,3,1971-09-18,49,40 to 50,Design Engineer,Telecommunications,Mass Customer,Yes,10,6784 Spohn Alley,3021,VIC,8,282,1.04921875
Sherrie,Godleman,F,37,0,1978-04-02,42,40 to 50,Associate Professor,Manufacturing,Mass Customer,No,19,67 Shelley Crossing,3350,VIC,2,282,1.04921875
Dexter,Shutle,M,81,2,1959-01-05,61,60 to 70,Quality Control Specialist,Untitled,Mass Customer,No,17,07 Dayton Court,4005,QLD,7,284,1.046875
Konstanze,Hovie,F,88,2,1967-01-09,53,50 to 60,Pharmacist,Health,Mass Customer,No,11,351 Sunfield Lane,4370,QLD,7,285,1.04125
Bink,Bentje,M,3,0,1957-03-23,63,60 to 70,Payment Adjustment Coordinator,Financial Services,High Net Worth,Yes,19,8427 Moulton Place,2680,NSW,3,285,1.04125
Taber,Szymon,M,70,2,1947-04-22,73,70 to 80,Senior Sales Associate,Argiculture,Affluent Customer,No,13,984 Del Sol Junction,4659,QLD,8,287,1.04
Debbi,Dannatt,F,2,3,1958-12-28,62,60 to 70,Technical Writer,Untitled,Affluent Customer,No,6,3 Pepper Wood Hill,4218,QLD,10,287,1.04
Giana,Staresmeare,F,96,2,1976-04-20,44,40 to 50,Account Representative IV,Retail,Affluent Customer,Yes,9,8737 Scoville Center,2770,NSW,7,289,1.0375
Morton,Petkens,M,50,0,1990-11-13,30,30 to 40,Account Coordinator,Manufacturing,High Net Worth,Yes,10,385 Montana Place,3012,VIC,1,289,1.0375
Vittoria,Whitney,F,95,2,1981-06-03,39,30 to 40,Research Assistant I,Untitled,High Net Worth,No,12,3 Surrey Court,2019,NSW,11,291,1.0359375
Paquito,Atwood,M,15,3,1972-07-30,48,40 to 50,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,9,2 Magdeline Street,3199,VIC,8,291,1.0359375
Dimitri,Tribbeck,M,89,2,1958-12-07,62,60 to 70,Chief Design Engineer,Untitled,Affluent Customer,No,20,93235 Hoard Trail,3165,VIC,6,291,1.0359375
Shelli,Bartholomaus,F,88,2,1963-05-11,57,50 to 60,Associate Professor,Health,Mass Customer,Yes,6,356 Carberry Avenue,3082,VIC,7,291,1.0359375
Kermit,Lebond,M,36,1,1980-02-01,40,40 to 50,Financial Advisor,Financial Services,Mass Customer,No,4,71 Ludington Center,4208,QLD,8,295,1.03125
Biddie,Gorce,F,68,1,1988-01-30,32,30 to 40,Senior Financial Analyst,Financial Services,Mass Customer,Yes,5,2116 Continental Terrace,2795,NSW,7,295,1.03125
Rupert,Marrow,M,73,2,1970-08-08,50,50 to 60,Untitled,Property,High Net Worth,No,19,2 7th Way,2760,NSW,8,297,1.030625
Geoff,Sitford,M,97,2,1965-02-27,55,50 to 60,Account Executive,Financial Services,Mass Customer,Yes,4,7 Elgar Road,2148,NSW,8,297,1.030625
Ange,Chitham,F,91,2,1991-02-14,29,20 to 30,Untitled,Argiculture,Mass Customer,No,10,00003 Hoffman Pass,2560,NSW,8,297,1.030625
Tiphanie,Blackader,F,59,2,1947-10-08,73,70 to 80,Physical Therapy Assistant,Retail,Mass Customer,No,17,71 Stone Corner Avenue,2007,NSW,11,297,1.030625
Zollie,Crinidge,M,39,0,1988-01-10,32,30 to 40,Systems Administrator I,Retail,Mass Customer,Yes,10,0 Esker Avenue,4019,QLD,5,297,1.030625
Daisy,Pollen,F,97,1,1993-08-09,27,20 to 30,Cost Accountant,Financial Services,Mass Customer,No,7,61825 Debs Terrace,3167,VIC,9,302,1.03
Emelen,Bidnall,M,79,2,1981-08-05,39,30 to 40,Systems Administrator IV,Health,Affluent Customer,Yes,11,11 Oak Terrace,2026,NSW,12,302,1.03
Linette,Boman,F,56,2,1949-05-20,71,70 to 80,Account Executive,Untitled,Affluent Customer,No,11,7 Michigan Hill,2076,NSW,11,304,1.025
Manya,Abramovici,F,42,3,1955-07-17,65,60 to 70,Quality Engineer,Financial Services,High Net Worth,Yes,13,8 Randy Park,4214,QLD,8,304,1.025
Brynna,Tivers,F,81,2,1974-08-09,46,40 to 50,Recruiting Manager,Financial Services,Mass Customer,No,6,0 Mayfield Parkway,4272,QLD,7,304,1.025
Art,Carolan,M,1,3,1954-11-09,66,60 to 70,Marketing Manager,Untitled,Affluent Customer,Yes,11,57903 Hanson Parkway,2570,NSW,9,304,1.025
Alfi,Sabbins,F,63,0,1959-06-12,61,60 to 70,Untitled,Financial Services,High Net Worth,Yes,18,763 Ridgeway Place,2344,NSW,3,304,1.025
Loleta,Aberdalgy,F,45,0,1981-02-15,39,30 to 40,Occupational Therapist,Health,Mass Customer,No,11,99 Westend Court,2287,NSW,6,304,1.025
Aldric,Birney,M,21,3,1971-08-19,49,40 to 50,Untitled,Manufacturing,Mass Customer,Yes,14,5 Caliangt Center,2546,NSW,6,310,1.02265625
Natividad,Balducci,F,39,1,1991-02-07,29,20 to 30,Untitled,Property,High Net Worth,Yes,10,4472 Washington Junction,3206,VIC,11,310,1.02265625
Claudine,Dymick,F,28,0,1965-12-13,55,50 to 60,Design Engineer,Health,Mass Customer,No,5,31675 Corry Way,3977,VIC,5,312,1.02
Seamus,Cains,M,61,1,1989-12-15,31,30 to 40,Teacher,Manufacturing,High Net Worth,No,7,4882 Dakota Center,2305,NSW,8,312,1.02
Guss,Karim,M,95,2,1968-11-24,52,50 to 60,Senior Sales Associate,Manufacturing,Mass Customer,No,7,4 Warner Circle,2227,NSW,11,312,1.02
Julietta,Setchfield,F,73,1,1992-01-31,28,20 to 30,Operator,Untitled,High Net Worth,Yes,3,4 Manufacturers Crossing,4170,QLD,8,312,1.02
Roch,Symson,F,96,2,1978-05-13,42,40 to 50,Office Assistant I,Manufacturing,High Net Worth,No,18,016 Westport Park,3073,VIC,9,312,1.02
Audry,Fann,F,3,3,1957-10-17,63,60 to 70,Pharmacist,Health,Mass Customer,Yes,15,19 Debs Parkway,3029,VIC,6,312,1.02
Cecelia,Cisar,F,20,3,1985-03-26,35,30 to 40,Untitled,Property,Mass Customer,Yes,15,665 Sachs Way,4212,QLD,7,312,1.02
Clari,Voas,F,74,2,1955-07-28,65,60 to 70,Human Resources Assistant II,Health,Affluent Customer,Yes,14,4110 Mifflin Center,2127,NSW,8,312,1.02
Zach,Hedman,M,87,1,1981-09-11,39,30 to 40,Analyst Programmer,Financial Services,Affluent Customer,Yes,4,62 Spaight Center,2566,NSW,9,320,1.015625
Paxon,Roomes,M,78,2,1976-11-06,44,40 to 50,Information Systems Manager,Untitled,High Net Worth,Yes,7,3 Express Lane,3021,VIC,7,320,1.015625
Parnell,Lamprey,M,23,3,1977-04-08,43,40 to 50,Engineer III,Financial Services,High Net Worth,No,12,7353 Mallard Junction,2165,NSW,6,322,1.0125
Honey,Gosdin,F,0,3,1981-11-29,39,30 to 40,Software Engineer I,Property,Mass Customer,No,17,066 Warner Trail,2582,NSW,9,322,1.0125
Sonny,McCart,M,35,1,1992-08-27,28,20 to 30,Account Representative I,Manufacturing,High Net Worth,No,9,52752 Barby Hill,3020,VIC,9,324,1.01
Deirdre,Burgoine,F,14,0,1955-01-08,65,60 to 70,Programmer III,Health,High Net Worth,No,7,0 Stoughton Park,3000,VIC,1,326,1.009375
Haleigh,,F,17,0,1952-05-19,68,60 to 70,Senior Sales Associate,Financial Services,Mass Customer,Yes,18,49 Jana Point,4503,QLD,4,326,1.009375
Aldridge,Poskitt,M,84,0,1982-02-10,38,30 to 40,VP Sales,Untitled,Mass Customer,No,12,7 Fordem Point,4161,QLD,5,326,1.009375
Zechariah,McReidy,M,32,0,1978-07-22,42,40 to 50,Technical Writer,Manufacturing,High Net Worth,No,21,797 Westend Street,4207,QLD,6,329,1.0
Carry,Costi,F,32,0,1972-11-26,48,40 to 50,Senior Developer,Property,Mass Customer,No,11,5316 Farwell Hill,2800,NSW,4,329,1.0
Alon,,M,17,0,1999-06-23,21,20 to 30,Accountant IV,Untitled,Affluent Customer,No,9,770 Crest Line Parkway,4218,QLD,3,329,1.0
Ahmed,Pickthorne,M,46,3,1959-12-25,61,60 to 70,Marketing Manager,Untitled,High Net Worth,Yes,15,50 American Street,2147,NSW,9,329,1.0
Nil,Shirer,M,64,1,1997-09-27,23,20 to 30,Librarian,Entertainment,Mass Customer,Yes,7,4793 Mcbride Pass,3013,VIC,8,329,1.0
Erhard,O'Moylane,M,33,0,1978-05-27,42,40 to 50,Media Manager I,Retail,Affluent Customer,Yes,9,01124 Dottie Lane,3630,VIC,2,334,0.9987499999999998
Vitia,Axtens,F,62,2,1945-08-08,75,70 to 80,Financial Advisor,Financial Services,Mass Customer,Yes,15,42681 Carey Alley,2011,NSW,10,334,0.9987499999999998
Haskell,Moxted,M,81,2,1943-08-27,77,70 to 80,Civil Engineer,Manufacturing,Mass Customer,No,7,2941 Talisman Alley,2145,NSW,9,334,0.9987499999999998
Ebony,Conrad,F,8,3,1999-10-24,21,20 to 30,Environmental Tech,Financial Services,Mass Customer,Yes,16,990 Hoffman Avenue,3029,VIC,7,334,0.9987499999999998
Lincoln,Boler,M,53,2,1976-01-24,44,40 to 50,Chief Design Engineer,Untitled,Affluent Customer,No,14,5 Summer Ridge Court,3207,VIC,8,338,0.99609375
